,property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_bedroom_ratio
3783,house,independent,sector 55,5,44444,1125,Plot area 125(104.52 sq.m.)Built Up area: 115 sq.yards (96.15 sq.m.)Carpet area: 100 sq.yards (83.61 sq.m.),9,9,3+,5,East,New Property,,115,100,0,0,0,0,1,0,44,125
3296,house,independent,sector 105,0.55,10913,504,Built Up area: 56 (5.2 sq.m.),4,4,0,2,,Undefined,,56,,0,0,0,0,0,1,0,126
3231,house,not applicable,sector 4,0.75,11719,640,Plot area 640(59.46 sq.m.),5,4,3,2,,Moderately Old,,640,,0,0,0,0,0,1,0,128
2958,house,independent,sector 38,2.1,23333,900,Plot area 100(83.61 sq.m.),7,7,3+,3,North-East,Relatively New,,900,,1,0,1,1,0,1,27,128.5714286
3123,house,independent,sector 105,1.2,13333,900,Plot area 900(83.61 sq.m.),7,4,1,2,South-West,Moderately Old,,900,,0,0,0,0,1,1,14,128.5714286
3289,house,independent,sector 11,0.9,10000,900,Plot area 900(83.61 sq.m.),7,4,3+,4,,Moderately Old,,900,,0,0,0,0,0,1,7,128.5714286
3280,house,independent,sector 13,1.5,11538,1300,Plot area 1300(120.77 sq.m.),10,7,3,4,East,Moderately Old,,1300,,0,0,0,0,0,1,0,130
3204,house,independent,sohna road,1.2,22305,538,Plot area 50,4,4,3+,4,West,Old Property,,535,,0,0,0,0,0,1,8,134.5
3062,house,independent,sector 12,1,8230,1215,Plot area 135(12.54 sq.m.)Built Up area: 3750 sq.ft. (348.39 sq.m.),9,7,3+,3,North,Moderately Old,,3750,,0,0,1,1,0,1,7,135
3074,house,prem kunj,sohna road,0.5,7407,675,Plot area 675(62.71 sq.m.)Built Up area: 725 sq.ft. (67.35 sq.m.)Carpet area: 675 sq.ft. (62.71 sq.m.),5,4,3,3,South-West,Relatively New,,725,675,0,0,0,1,0,1,22,135
3097,house,my home,sector 110,0.34,12593,270,Plot area 270(25.08 sq.m.),2,2,2,3,West,Moderately Old,,270,,0,0,0,0,0,1,22,135
3285,house,independent,sector 2,1,8230,1215,Plot area 135(112.88 sq.m.),9,7,3+,3,North,Moderately Old,,1215,,0,0,0,1,0,1,0,135
3288,house,independent,sector 4,0.8,11852,675,Plot area 75(62.71 sq.m.),5,3,1,2,,Moderately Old,,675,,0,0,0,0,0,1,0,135
3455,house,independent,sector 55,1.45,26852,540,Plot area 60(5.57 sq.m.),4,4,3+,4,East,Relatively New,,60,,0,0,1,0,0,1,70,135
3684,house,independent,sector 24,4.5,33333,1350,Plot area 163(136.29 sq.m.)Built Up area: 160 sq.yards (133.78 sq.m.)Carpet area: 150 sq.yards (125.42 sq.m.),10,8,3+,4,East,Relatively New,,160,150,0,1,1,0,0,0,56,135
3375,house,sheetla enclave,sector 5,0.96,10000,960,Plot area 945(87.79 sq.m.),7,4,2,3,,Moderately Old,,945,,0,0,1,1,0,0,0,137.1428571
3131,house,independent,sector 9,1.25,8735,1431,Plot area 159(132.94 sq.m.),10,6,3+,3,,Old Property,,1431,,0,0,0,0,0,1,0,143.1
3566,house,independent,sector 47,0.99,17188,576,Plot area 64(53.51 sq.m.),4,4,3,4,,Relatively New,,576,,0,0,0,0,0,1,13,144
3173,house,independent,sector 4,0.65,11111,585,Plot area 65(54.35 sq.m.),4,2,2,,,Moderately Old,,585,,0,0,0,0,0,1,0,146.25
3129,house,independent,sector 9,0.22,7407,297,Carpet area: 33 (27.59 sq.m.),2,2,2,1,,Undefined,,,33,0,0,0,0,0,1,0,148.5
3072,house,independent,sector 7,0.9,10000,900,Plot area 100(83.61 sq.m.),6,4,3,3,North-East,Old Property,,900,,0,1,0,0,1,0,44,150
3076,house,independent,sector 105,0.6,13333,450,Built Up area: 450 (41.81 sq.m.),3,3,0,3,,Undefined,,450,,0,0,0,0,0,1,0,150
3088,house,independent,sector 1,0.8,6667,1200,Plot area 1200(111.48 sq.m.),8,8,2,1,,Relatively New,,1200,,0,0,0,0,0,1,0,150
3243,house,independent,sector 105,1.1,12222,900,Carpet area: 900 (83.61 sq.m.),6,4,1,1,South-West,Undefined,,,900,0,0,0,0,0,1,0,150
3416,house,palam vihar extension west zone rwa,sector 2,0.4,4444,900,Plot area 900(83.61 sq.m.),6,4,2,2,West,Moderately Old,,900,,0,0,0,0,0,1,36,150
3193,house,independent,sector 3,0.92,15257,603,Built Up area: 603 (56.02 sq.m.),4,1,0,1,,Undefined,,603,,0,0,0,0,0,1,0,150.75
3254,house,independent,sector 4,0.92,15257,603,Plot area 67(56.02 sq.m.),4,4,3,4,East,Moderately Old,,603,,0,0,0,0,1,1,0,150.75
3230,house,independent,sector 13,0.9,11465,785,Plot area 785(72.93 sq.m.),5,4,3,3,North-West,Moderately Old,,785,,1,1,0,1,1,1,0,157
3272,house,row house,sector 105,0.43,9130,471,Plot area 52(43.48 sq.m.)Built Up area: 1050 sq.yards (877.93 sq.m.),3,3,3,2,,Relatively New,,1050,,0,0,0,0,0,1,0,157
